Sample_ID,pH,NO3,NO2,PO4,NH4,Nt,TOM,Abundancia,Especie
90,7.79,4.8,0.74,0.12,8.03,1.5,61.49,31409,Pinnularia
91,7.33,0.74,0.8,1.88,9.98,0.59,59.94,43825,Thalassiosira
92,8.45,2.13,0.93,0.33,4.29,1.21,55.48,25671,Amphora
93,7.39,9.07,0.42,0.81,7.75,0.92,52.39,30478,Pinnularia
94,7.53,8.78,0.12,0.32,12.22,0.41,43.72,17796,Amphora
95,7.22,6.38,0.84,0.87,3.12,1.3,63.61,37458,Nitzschia
96,8.18,6.68,0.92,0.86,5.93,1.43,44,37613,Nitzschia
97,7.17,5.32,0.3,1.4,6.93,1.8,71.87,24852,Navicula
98,8.28,0.94,0.44,1.64,10.55,0.51,65.33,30088,Nitzschia
99,6.71,3.54,0.13,1.04,1.34,1.96,47.64,48982,Cocconeis
100,7.03,8.6,0.87,1.09,12,1.85,39.74,23341,Amphora
101,7.72,9.12,0.96,1.23,6.62,0.87,42.9,31684,Pinnularia
102,6.94,4.33,0.26,0.27,5.46,0.34,52.57,5412,Nitzschia
103,7.76,6.15,0.75,1.93,14.65,1.34,47.53,28931,Nitzschia
104,7.18,2.08,0.57,0.68,5.57,0.64,46.52,11986,Cyclotella
105,7.16,6.6,0.83,0.62,7.39,1.97,40.48,36055,Cocconeis
106,8.32,1.91,0.54,0.19,9.69,1.27,49.55,24684,Cocconeis
107,7.75,2.03,0.53,1.79,8.92,0.85,42.15,44188,Thalassiosira
108,6.77,9.54,0.54,0.09,5.19,1.39,33.32,4055,Nitzschia
109,6.67,5.45,0.39,1.72,6.63,1.54,46.2,23226,Thalassiosira
110,8.38,1.26,0.77,0.47,7.88,0.95,59.19,43608,Pinnularia
111,6.69,2.58,0.86,0.2,0.67,1.76,44.25,14585,Nitzschia
112,8.18,3.2,0.4,0.24,10.66,0.18,56.08,33678,Cocconeis
113,7.03,8.6,0.9,0.1,11.1,1.86,33.82,14302,Navicula
114,6.51,1.73,0.82,0.55,2.8,1.83,49.44,37023,Navicula
115,8.35,9.97,0.94,0.9,8.68,0.69,55.19,12965,Amphora
116,7.9,5.24,0.97,1.87,0.92,1.25,53.01,11255,Thalassiosira
117,6.63,5.12,0.46,1.8,8.44,1.16,51.06,8404,Cocconeis
118,8.34,7.09,0.59,0.47,13.23,0.68,43.59,27873,Amphora
119,7.56,8.26,0.45,1.19,12.29,1.91,41.5,48322,Pinnularia
120,7.35,3.5,0.95,0.57,10.01,0.51,39.76,36062,Nitzschia
121,8.1,8.17,0.64,1.02,11.22,1.36,51.18,3073,Cyclotella
122,8.39,9.18,0.89,0.85,7.96,1.57,40.53,16251,Thalassiosira
123,7.06,2.53,0.26,1.23,6.67,1.76,45.09,7238,Pinnularia
124,8.13,8.07,0.91,0.86,8.77,0.64,47.44,33416,Amphora
125,7.97,0.6,0.81,1.23,10.97,0.26,68.44,5865,Nitzschia
126,8.26,5.18,0.71,1.59,13.84,1.65,43.48,19792,Cocconeis
127,6.9,4.8,0.97,1.82,2.44,1.18,52.35,25331,Thalassiosira
128,6.63,3.16,0.78,0.38,10.81,1.44,50.78,12826,Nitzschia
129,6.61,9.64,0.66,1.05,0.88,0.57,40.38,24613,Nitzschia
130,7.54,6.5,0.21,1.99,3.12,1.06,49.29,32261,Nitzschia
131,6.63,6.92,0.78,1.69,5.61,1.46,64.45,9565,Thalassiosira
132,6.94,7.71,0.64,1.43,9.35,0.95,54.52,47428,Cocconeis
133,6.92,6,0.41,0.22,10.11,0.45,50.41,7499,Cyclotella
134,8.12,2.3,0.68,1.3,8.93,0.6,45.78,3037,Cyclotella
135,8.36,8.7,0.1,1.2,8.16,1.55,29.47,32030,Thalassiosira
136,7.96,2.82,0.51,0.57,8.89,0.35,61.31,30330,Cocconeis
137,8.08,3.24,0.21,0.9,3.88,1.81,35.39,19982,Cyclotella
138,6.8,8.61,0.96,0.13,7.54,1.39,57.4,44754,Cocconeis
139,7.75,6.67,0.25,0.47,6.02,1.57,69.09,9675,Amphora
140,6.61,0.63,0.62,0.52,3.05,0.61,35.56,38803,Navicula
141,8.13,5.29,0.84,0.32,9.53,1.23,57.02,30037,Nitzschia
142,7.3,9.58,0.47,0.22,0.78,0.33,47.38,23724,Navicula
143,8.12,7.65,0.5,0.68,6.89,0.99,34.28,44362,Amphora
144,7.6,7.19,0.33,1.78,13.43,0.58,34.85,37635,Pinnularia
145,6.53,6.43,0.2,0.11,11.08,0.27,33.98,31520,Cocconeis
146,8.28,1.36,0.58,1.28,14.5,0.53,44.69,26741,Navicula
147,8.07,9.37,0.87,0.19,11.05,1.99,35.38,20917,Pinnularia
148,8.09,4.46,0.11,0.95,7.29,0.45,56.88,46970,Pinnularia
149,8.41,7.7,0.19,0.48,0.58,1.42,71,15580,Cyclotella
150,8.27,7.49,0.35,1.83,13.03,0.91,37.13,2659,Cyclotella
